player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0033132,K.Byard,2018,2,7.789388990964272,0.14916330304908842,1,1.0
00-0031079,P.O'Donnell,2017,5,6.28846303912908,0.14916330304908842,1,1.0
00-0027145,P.McAfee,2016,12,5.036514517496981,0.14916330304908842,1,1.0
00-0035544,T.Kennedy,2021,18,4.915854467746782,0.14916330304908842,1,1.0
00-0028954,R.Golden,2017,7,4.725226081527728,0.14916330304908842,1,1.0
00-0035190,A.Cole,2024,12,4.290569260090999,0.14916330304908842,1,1.0
00-0023853,M.Prater,2018,17,4.092678585358686,0.14916330304908842,1,1.0
00-0030140,T.Way,2024,21,4.088819557300169,0.08770330050745664,3,3.0
00-0033557,J.Reeves-Maybin,2023,17,3.9638030197744114,0.14916330304908842,1,1.0
00-0029747,C.Banjo,2021,17,3.5257659567891757,0.14916330304908842,1,1.0
00-0032496,M.Farley,2021,1,3.0176842737525935,0.14916330304908842,1,1.0
00-0035290,J.Johnson,2020,16,3.009259274807769,0.14916330304908842,1,1.0
00-0030710,T.Burton,2017,21,2.9822913530898685,0.14916330304908842,1,1.0
00-0036259,J.Jennings,2023,22,2.80634056296025,0.14916330304908842,1,1.0
00-0027114,T.Morstead,2023,11,2.7383329786663633,0.14916330304908842,1,1.0
00-0034348,C.Sutton,2024,9,2.732756254234621,0.07714586868743051,4,4.0
00-0027685,E.Sanders,2019,14,2.6893261713311594,0.10624169930569174,2,2.0
00-0036326,C.Claypool,2022,8,2.6660364059571853,0.14916330304908842,1,1.0
00-0031260,L.Thomas,2020,12,2.646808112106184,0.10624169930569174,2,2.0
00-0032449,L.Edwards,2017,4,2.6269826522955966,0.14916330304908842,1,1.0
00-0031051,J.Brown,2019,18,2.6040864477506114,0.10624169930569174,2,2.0
00-0022824,A.Lee,2022,16,2.5577623306617148,0.07714586868743051,4,4.0
00-0034959,A.Beck,2019,16,2.4505504180456024,0.14916330304908842,1,1.0
