season,week,player_id,player_name,team,opponent,rush_attempts,rush_yards,targets,receptions,rec_yards,total_touches,total_yards,total_tds,raw_composite,smoothed_composite,composite_uncertainty,career_game_number
2020,1,00-0023500,F.Gore,NYJ,BUF,6.0,24.0,0.0,0.0,0.0,6.0,24.0,0.0,-0.37566353222942844,-0.37566353222942844,1.0,0
2020,2,00-0023500,F.Gore,NYJ,SF,21.0,63.0,2.0,0.0,0.0,23.0,63.0,0.0,0.36622145449958865,0.06946745980798177,0.7071067811865475,1
2020,3,00-0023500,F.Gore,NYJ,IND,15.0,57.0,1.0,1.0,5.0,16.0,62.0,0.0,0.16700597730571776,0.11566991546480407,0.5773502691896258,2
2020,4,00-0023500,F.Gore,NYJ,DEN,13.0,30.0,2.0,1.0,6.0,15.0,36.0,0.0,0.07627602237735354,0.09930629833617077,0.5,3
2020,5,00-0023500,F.Gore,NYJ,ARI,9.0,30.0,0.0,0.0,0.0,9.0,30.0,0.0,-0.27058739802456394,-0.042690807849703666,0.4472135954999579,4
2020,6,00-0023500,F.Gore,NYJ,MIA,11.0,46.0,4.0,4.0,24.0,15.0,70.0,0.0,0.5413083332554978,0.17071038205791128,0.4082482904638631,5
2020,7,00-0023500,F.Gore,NYJ,BUF,11.0,60.0,0.0,0.0,0.0,11.0,60.0,0.0,-0.07959869048214449,0.08208711159569632,0.3779644730092272,6
2020,8,00-0023500,F.Gore,NYJ,KC,10.0,30.0,0.0,0.0,0.0,10.0,30.0,0.0,-0.24486494167364134,-0.031321951132303905,0.35355339059327373,7
2020,9,00-0023500,F.Gore,NYJ,NE,12.0,46.0,2.0,2.0,13.0,14.0,59.0,0.0,0.23442305004691,0.05962546698552105,0.3333333333333333,8
2020,11,00-0023500,F.Gore,NYJ,LAC,15.0,61.0,2.0,2.0,10.0,17.0,71.0,1.0,0.34799115972874173,0.1574436820697918,0.31622776601683794,9
2020,12,00-0023500,F.Gore,NYJ,MIA,18.0,74.0,3.0,3.0,12.0,21.0,86.0,0.0,0.6176635918626678,0.3126445995699462,0.30151134457776363,10
2020,13,00-0023500,F.Gore,NYJ,LV,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.6066079272947361,0.003847081101964449,0.2886751345948129,11
2020,14,00-0023500,F.Gore,NYJ,SEA,8.0,23.0,1.0,1.0,8.0,9.0,31.0,0.0,-0.15281976370322325,-0.04864491651368883,0.2773500981126146,12
2020,15,00-0023500,F.Gore,NYJ,LA,23.0,59.0,1.0,1.0,6.0,24.0,65.0,1.0,0.41194051674131893,0.10541127879247347,0.2672612419124244,13
2020,16,00-0023500,F.Gore,NYJ,CLE,14.0,48.0,1.0,1.0,5.0,15.0,53.0,0.0,0.09675132869212655,0.10251802154821883,0.2581988897471611,14
2020,1,00-0025394,A.Peterson,DET,CHI,14.0,93.0,3.0,3.0,21.0,17.0,114.0,0.0,0.7301798457537558,0.7301798457537558,1.0,0
2020,2,00-0025394,A.Peterson,DET,GB,7.0,41.0,0.0,0.0,0.0,7.0,41.0,0.0,-0.2708662523946811,0.12955218686469372,0.7071067811865475,1
2020,3,00-0025394,A.Peterson,DET,ARI,22.0,75.0,1.0,1.0,10.0,23.0,85.0,0.0,0.5255077160131243,0.31711006909289763,0.5773502691896258,2
2020,4,00-0025394,A.Peterson,DET,NO,11.0,36.0,2.0,0.0,0.0,13.0,36.0,1.0,-0.05944023777541032,0.16069686470144667,0.5,3
2020,6,00-0025394,A.Peterson,DET,JAX,15.0,40.0,1.0,1.0,18.0,16.0,58.0,1.0,0.3025181296199039,0.21514009910142312,0.4472135954999579,4
2020,7,00-0025394,A.Peterson,DET,ATL,11.0,29.0,1.0,1.0,1.0,12.0,30.0,0.0,-0.14549675699606382,0.08335851108384523,0.4082482904638631,5
2020,8,00-0025394,A.Peterson,DET,IND,5.0,7.0,1.0,1.0,5.0,6.0,12.0,0.0,-0.3895179698055304,-0.08406594475314107,0.3779644730092272,6
2020,9,00-0025394,A.Peterson,DET,MIN,8.0,29.0,5.0,3.0,14.0,13.0,43.0,0.0,0.2596160651553022,0.03514619730391926,0.35355339059327373,7
2020,10,00-0025394,A.Peterson,DET,WAS,4.0,21.0,1.0,1.0,9.0,5.0,30.0,0.0,-0.30544566414734237,-0.08141648607106,0.3333333333333333,8
2020,11,00-0025394,A.Peterson,DET,CAR,7.0,18.0,1.0,0.0,0.0,8.0,18.0,0.0,-0.342749879799227,-0.17006491672597618,0.31622776601683794,9
2020,12,00-0025394,A.Peterson,DET,HOU,15.0,55.0,0.0,0.0,0.0,15.0,55.0,2.0,3.384211444363849e-05,-0.11270215845341067,0.30151134457776363,10
2020,13,00-0025394,A.Peterson,DET,CHI,16.0,57.0,1.0,0.0,0.0,17.0,57.0,2.0,0.11255003897319786,-0.03703489884626276,0.2886751345948129,11
2020,14,00-0025394,A.Peterson,DET,GB,4.0,7.0,1.0,1.0,23.0,5.0,30.0,0.0,-0.1394724508323323,-0.07135710493455483,0.2773500981126146,12
2020,15,00-0025394,A.Peterson,DET,TEN,6.0,23.0,0.0,0.0,0.0,6.0,23.0,0.0,-0.3803149952611972,-0.17469705808324376,0.2672612419124244,13
2020,16,00-0025394,A.Peterson,DET,TB,4.0,10.0,0.0,0.0,0.0,4.0,10.0,0.0,-0.49222887894726297,-0.2807832630094573,0.2581988897471611,14
2020,17,00-0025394,A.Peterson,DET,MIN,7.0,63.0,0.0,0.0,0.0,7.0,63.0,1.0,-0.1685341312608768,-0.24330983475727835,0.25,15
2021,9,00-0025394,A.Peterson,TEN,LA,10.0,21.0,1.0,1.0,5.0,11.0,26.0,1.0,-0.16513897104359787,-0.21722640656994366,0.24253562503633297,16
2021,10,00-0025394,A.Peterson,TEN,NO,8.0,21.0,1.0,1.0,-1.0,9.0,20.0,0.0,-0.32181769778666025,-0.2521137764808447,0.23570226039551587,17
2021,11,00-0025394,A.Peterson,TEN,HOU,9.0,40.0,2.0,2.0,4.0,11.0,44.0,0.0,-0.06474725738145044,-0.1896300841588009,0.22941573387056174,18
2021,13,00-0025394,A.Peterson,SEA,SF,11.0,16.0,0.0,0.0,0.0,11.0,16.0,1.0,-0.2926226125321498,-0.2239712543239977,0.22360679774997896,19
2020,1,00-0027029,L.McCoy,TB,NO,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,-1.1340215667589166,-1.1340215667589166,1.0,0
2020,2,00-0027029,L.McCoy,TB,CAR,1.0,-5.0,7.0,5.0,26.0,8.0,21.0,0.0,0.03570552883486875,-0.43218530940264543,0.7071067811865475,1
2020,3,00-0027029,L.McCoy,TB,DEN,0.0,0.0,4.0,2.0,24.0,4.0,24.0,0.0,-0.4253595575197198,-0.42895205851073326,0.5773502691896258,2
2020,4,00-0027029,L.McCoy,TB,LAC,1.0,3.0,1.0,1.0,3.0,2.0,6.0,0.0,-0.7575514077457441,-0.5654471728083532,0.5,3
2020,6,00-0027029,L.McCoy,TB,GB,4.0,1.0,1.0,1.0,6.0,5.0,7.0,0.0,-0.4479949255981099,-0.5203588693769329,0.4472135954999579,4
2020,14,00-0027029,L.McCoy,TB,MIN,4.0,32.0,1.0,1.0,3.0,5.0,35.0,0.0,-0.3533197482623708,-0.45932051384183725,0.4082482904638631,5
2020,15,00-0027029,L.McCoy,TB,ATL,0.0,0.0,3.0,3.0,32.0,3.0,32.0,0.0,-0.4084776326520898,-0.4413193188989884,0.3779644730092272,6
2020,16,00-0027029,L.McCoy,TB,DET,0.0,0.0,1.0,1.0,5.0,1.0,5.0,0.0,-1.0845014854772548,-0.6644183511442966,0.35355339059327373,7
2020,1,00-0027966,M.Ingram,BAL,CLE,10.0,29.0,0.0,0.0,0.0,10.0,29.0,0.0,-0.24951639874494566,-0.24951639874494566,1.0,0
2020,2,00-0027966,M.Ingram,BAL,HOU,9.0,55.0,3.0,2.0,22.0,12.0,77.0,1.0,0.3942177944663016,0.1367241171818027,0.7071067811865475,1
2020,3,00-0027966,M.Ingram,BAL,KC,7.0,30.0,1.0,0.0,0.0,8.0,30.0,0.0,-0.28693236514125275,-0.06395526918174985,0.5773502691896258,2
2020,4,00-0027966,M.Ingram,BAL,WAS,8.0,34.0,1.0,1.0,3.0,9.0,37.0,1.0,-0.18418715207087616,-0.11389774361261769,0.5,3
2020,5,00-0027966,M.Ingram,BAL,CIN,11.0,57.0,0.0,0.0,0.0,11.0,57.0,0.0,-0.09355306765652194,-0.1060877021318416,0.4472135954999579,4
