player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0033132,K.Byard,2018,2,7.823563719080454,0.14916330304908842,1,1.0
00-0031079,P.O'Donnell,2017,5,6.366897020124249,0.14916330304908842,1,1.0
00-0021940,Josh.Brown,2009,8,6.065550450504064,0.14916330304908842,1,1.0
00-0021488,M.McBriar,2013,16,5.703426020002933,0.14916330304908842,1,1.0
00-0035544,T.Kennedy,2021,18,4.902152908841969,0.14916330304908842,1,1.0
00-0025499,D.Sepulveda,2011,5,4.845192614700206,0.10624169930569174,2,2.0
00-0028954,R.Golden,2017,7,4.4034696653130965,0.10624169930569174,2,2.0
00-0035190,A.Cole,2024,12,4.383180914583298,0.14916330304908842,1,1.0
00-0010072,R.Longwell,2006,2,4.285999638722862,0.14916330304908842,1,1.0
00-0028347,S.Lanning,2013,3,4.240757778062052,0.14916330304908842,1,1.0
00-0030140,T.Way,2024,21,4.161835746712855,0.08770330050745664,3,3.0
00-0033557,J.Reeves-Maybin,2023,17,4.033798482969399,0.14916330304908842,1,1.0
00-0027618,B.Banks,2011,14,4.023937300105744,0.14916330304908842,1,1.0
00-0023060,C.Kluwe,2007,13,3.9908160901004863,0.14916330304908842,1,1.0
00-0026393,M.Reece,2013,15,3.9894732281990546,0.14916330304908842,1,1.0
00-0030789,A.Andrews,2015,14,3.804244685663067,0.14916330304908842,1,1.0
00-0029747,C.Banjo,2021,17,3.5990417750366275,0.14916330304908842,1,1.0
00-0022127,J.Witten,2008,17,3.1133754397550115,0.14916330304908842,1,1.0
00-0035290,J.Johnson,2020,16,3.0749588386850295,0.14916330304908842,1,1.0
00-0030710,T.Burton,2017,21,3.0575921618101325,0.14916330304908842,1,1.0
00-0032496,M.Farley,2021,1,3.0541663900615585,0.14916330304908842,1,1.0
00-0023474,M.Bradley,2009,3,3.049407039961236,0.10624169930569174,2,2.0
00-0036259,J.Jennings,2023,22,2.8187470468723954,0.14916330304908842,1,1.0
00-0027026,M.Massaquoi,2010,16,2.790822572829552,0.14916330304908842,1,1.0
00-0036326,C.Claypool,2022,8,2.7433547810223136,0.14916330304908842,1,1.0
00-0032449,L.Edwards,2017,4,2.6458104987804636,0.14916330304908842,1,1.0
00-0031051,J.Brown,2019,18,2.606825646364231,0.10624169930569174,2,2.0
