player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0000865,C.Batch,2012,13,0.022008,0.051092,17,244
00-0001361,D.Bledsoe,2006,7,-0.014637,0.052602,6,185
00-0001823,A.Brooks,2006,17,-0.050707,0.050781,7,216
00-0002110,M.Brunell,2011,15,-0.012959,0.048527,15,322
00-0003292,K.Collins,2011,3,-0.001792,0.036240,46,1263
00-0003315,T.Collins,2010,20,-0.035931,0.051914,11,225
00-0003739,D.Culpepper,2009,17,-0.056733,0.040900,24,658
00-0004161,J.Delhomme,2011,17,-0.026569,0.035976,50,1536
00-0004293,T.Dilfer,2007,14,-0.109126,0.049344,7,243
00-0005106,B.Favre,2010,15,0.076203,0.035583,81,2808
00-0005589,G.Frerotte,2008,14,-0.053975,0.042506,20,510
00-0005755,J.Garcia,2008,17,0.072486,0.036652,36,1040
00-0006355,T.Green,2008,12,-0.022236,0.042956,17,474
00-0006423,B.Griese,2008,15,-0.006946,0.041395,17,500
00-0007091,M.Hasselbeck,2015,16,0.004816,0.036270,107,3545
00-0007835,D.Huard,2008,7,-0.011542,0.039899,26,720
00-0008442,B.Johnson,2008,9,-0.069523,0.041629,19,564
00-0009311,J.Kitna,2011,2,0.021850,0.035113,47,1753
00-0010346,P.Manning,2015,21,0.079232,0.034207,156,5924
00-0011022,D.McNabb,2011,6,0.012955,0.034308,77,2769
00-0011024,S.McNair,2007,10,0.023155,0.038635,23,723
00-0013042,J.Plummer,2006,17,-0.019962,0.046465,12,334
00-0016193,V.Testaverde,2007,14,-0.041514,0.052643,7,185
00-0017200,K.Warner,2009,19,0.145620,0.034737,57,2007
00-0019559,C.Pennington,2010,10,0.099034,0.036590,47,1455
00-0019596,T.Brady,2022,19,0.099490,0.031856,292,11530
00-0019599,M.Bulger,2009,11,-0.055485,0.035382,52,1786
00-0019623,T.Rattay,2007,12,0.014724,0.057467,8,132
00-0019709,C.Redman,2011,17,-0.015561,0.048155,14,317
00-0020245,M.Vick,2015,6,-0.029559,0.037461,78,2082
00-0020305,A.Feeley,2011,13,-0.020968,0.049200,9,252
00-0020434,C.Weinke,2007,17,-0.065335,0.055975,4,133
00-0020480,S.Rosenfels,2008,13,0.098960,0.042886,18,468
00-0020531,D.Brees,2020,19,0.155649,0.034437,245,9747
00-0020565,C.Lemon,2008,10,-0.023711,0.044149,13,402
00-0020608,D.Carr,2012,17,-0.023918,0.044566,33,694
00-0020613,Q.Gray,2008,12,0.051893,0.053453,9,185
00-0020679,S.Hill,2016,17,0.024874,0.038492,45,1303
00-0021141,J.Harrington,2007,13,-0.040016,0.038355,23,781
00-0021206,J.McCown,2019,18,-0.000649,0.035748,64,1955
00-0021231,D.Garrard,2010,16,0.056681,0.035310,70,2192
00-0021296,J.O'Sullivan,2009,17,-0.085834,0.048743,13,294
00-0021429,C.Palmer,2017,7,0.072533,0.033058,156,5777
00-0021678,T.Romo,2016,17,0.145308,0.035660,136,4787
00-0022005,C.Simms,2009,11,-0.118151,0.056617,6,134
00-0022026,B.Bollinger,2008,17,-0.025694,0.059958,8,100
00-0022055,S.Wallace,2013,10,-0.020452,0.041357,40,816
00-0022121,R.Grossman,2011,17,-0.042464,0.034714,48,1541
00-0022164,K.Boller,2011,7,-0.085023,0.042902,26,581
00-0022177,B.Leftwich,2012,11,-0.037480,0.044076,21,471
00-0022787,M.Schaub,2019,12,0.065892,0.036699,106,3460
00-0022803,E.Manning,2019,15,0.010700,0.033408,222,8137
00-0022864,L.McCown,2015,7,-0.015343,0.049993,15,281
00-0022912,J.Losman,2011,14,-0.028727,0.039785,30,795
