player_id,player_name,last_season,last_week,leaf_rating,leaf_uncertainty,total_games,total_attempts
00-0037327,S.Thompson,2024,3,-0.0950614677889987,0.052377151448428354,10,200
00-0037834,B.Purdy,2025,20,0.162844877672553,0.035298139146419605,55,1670
00-0038102,K.Pickett,2025,18,-0.0342859172656207,0.04233621427290707,36,863
00-0038108,B.Zappe,2024,18,-0.0879758369487617,0.045371604543398066,15,366
00-0038122,D.Ridder,2024,18,-0.0064732217422212,0.04147237789204762,24,638
00-0038128,M.Willis,2025,17,0.0176268540236902,0.05565953819617802,17,181
00-0038416,T.Bagent,2025,9,-0.014904954034706,0.05603868848671693,9,155
00-0038476,T.DeVito,2024,15,-0.0767326385339897,0.04930167415885388,11,265
00-0038579,A.O'Connell,2025,18,-0.0038130402276304,0.039900472439111545,21,644
00-0038583,D.Thompson-Robinson,2024,18,-0.1610689095100918,0.05063276529059222,12,243
00-0039150,B.Young,2025,19,-0.0206278814131271,0.03545560821052856,47,1551
00-0039152,W.Levis,2024,18,-0.0501098550924294,0.04048864609486343,21,626
00-0039163,C.Stroud,2025,20,0.0430610625344984,0.03488402564778756,52,1774
00-0039164,A.Richardson,2025,5,-0.053475690396444,0.04605824154470946,16,372
00-0039376,S.Rattler,2025,15,-0.0595830335862163,0.04184010965844736,16,522
00-0039732,B.Nix,2025,20,0.0613347995730862,0.034618387044372825,36,1299
00-0039851,D.Maye,2025,22,0.1191562410793826,0.03652284578402811,34,1055
00-0039910,J.Daniels,2025,14,0.0779630175718279,0.0378248069399237,27,852
00-0039917,M.Penix,2025,11,0.0304106128512743,0.04418793034169964,14,399
00-0039918,C.Williams,2025,20,0.0306697029157292,0.034665553549686756,36,1322
00-0039923,J.McCarthy,2025,18,-0.054409380226117,0.04868889636400069,10,273
00-0040398,B.Cook,2025,18,-0.1200558449563467,0.05310470457059525,5,173
00-0040668,S.Sanders,2025,18,-0.0931734977154314,0.04992981543749085,8,235
00-0040676,C.Ward,2025,18,-0.0663067110320035,0.040298095713172354,17,592
00-0040691,J.Dart,2025,18,0.0148820822784089,0.04476572380177048,12,375
00-0040704,D.Gabriel,2025,16,-0.0874265196242267,0.052620192700078554,10,204
00-0040743,T.Shough,2025,18,0.0188950349373748,0.044919194520396284,11,356
