season,week,player_id,player_name,position,sacks,qb_hits,tfls,forced_fumbles,solo_tackles,assist_tackles,total_tackles,pressures,impact_plays,epa_against,raw_composite,career_game_number,smoothed_composite,composite_uncertainty
2020,3,00-0023448,Thomas Davis,LB,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-0.43498820066452026,-0.5592254024820815,1,-0.5592254024820815,
2020,11,00-0023448,Thomas Davis,LB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.045680522918701,-2.0672639285013545,2,-0.8943450749308088,
2020,12,00-0023448,Thomas Davis,LB,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-0.08720485679805279,-0.2962856860293234,3,-0.7614429885082565,0.9556569665031452
2020,15,00-0023448,Thomas Davis,LB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.14099107682704926,-0.32079760266363627,4,-0.6635217916538965,0.8459351188095738
2021,1,00-0027662,Carlos Dunlap,LB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6667287349700928,0.7301914797543173,1,0.7301914797543173,
2021,3,00-0027662,Carlos Dunlap,LB,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.12831433955579996,0.17222651118754997,2,0.6061992645172579,
2021,5,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,-0.18744265536467233,-0.38300146439338634,3,0.3863768803148926,0.5565970328576517
2021,7,00-0027662,Carlos Dunlap,LB,0.5,1.0,0.0,0.0,1.0,3.0,4.0,1.5,0.5,0.399707833925883,0.5588517296624056,4,0.42470462461433994,0.4936872618867668
2021,8,00-0027662,Carlos Dunlap,LB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5953749418258667,-0.26330973677622743,5,0.271812544305325,0.4894761193197058
2021,10,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.3533204644918442,-0.056959246295239366,6,0.19875214639408847,0.446914496507363
2021,11,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.16814408948024115,-0.16860760734504066,7,0.1171166455631709,0.4229313907480319
2021,13,00-0027662,Carlos Dunlap,LB,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.3481212556362152,0.5997393600703081,8,0.22436613767586808,0.43190360525789534
2021,14,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-0.7482502311468124,-0.7139329183681815,9,0.015855236332745964,0.4958766222566488
2021,15,00-0027662,Carlos Dunlap,LB,3.0,3.0,0.0,0.0,3.0,0.0,3.0,6.0,3.0,1.6450544595718384,2.603010914663304,10,0.5907787204062033,0.9321640353740215
2021,16,00-0027662,Carlos Dunlap,LB,2.0,3.0,0.0,1.0,5.0,0.0,5.0,5.0,3.0,0.5053843825378201,1.6831508329403402,11,0.8335280787471226,1.0242987010251752
2021,17,00-0027662,Carlos Dunlap,LB,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0542997121810913,0.36568205516410307,12,0.7295622957286738,1.0212758347434139
2021,18,00-0027662,Carlos Dunlap,LB,2.0,3.0,0.0,0.0,3.0,1.0,4.0,5.0,2.0,0.8673090231087472,1.8494387494668474,13,0.9784237298927123,1.0685477967756816
2022,1,00-0027662,Carlos Dunlap,LB,1.0,1.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,1.441929819683234,1.4169498738075879,14,1.075873984096018,1.0949271433257568
2022,2,00-0027662,Carlos Dunlap,LB,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.1693704016506672,0.10448882672952393,15,0.8600106157923527,1.0635238139913021
2022,3,00-0027662,Carlos Dunlap,LB,1.0,1.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,3.1600591902221953,2.235922579556229,16,1.165768829962103,1.1119001049006736
2022,6,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.020939938724040985,-0.30309995511577054,17,0.8393535443892423,1.1282663066318268
2022,7,00-0027662,Carlos Dunlap,LB,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.6742497384548187,0.09215812497489859,18,0.6733101178527214,1.1584934003102232
2022,9,00-0027662,Carlos Dunlap,LB,1.5,2.0,0.0,0.0,2.0,2.0,4.0,3.5,1.5,0.736810153350234,1.362467844926473,19,0.8264562794246662,1.0065512064358613
2022,10,00-0027662,Carlos Dunlap,LB,0.5,1.0,0.0,0.0,2.0,3.0,5.0,1.5,0.5,1.1337185470121247,0.9180866079358149,20,0.8468185746493658,0.8658125721174821
2022,11,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5954390168190002,0.044476956657554176,21,0.6685204373178522,0.8714254043288986
2022,12,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.11385291814804077,-0.24688679884937467,22,0.46509660705846845,0.9258546904893331
2022,13,00-0027662,Carlos Dunlap,LB,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.9901615548878908,0.8882961568034418,23,0.5591409514462403,0.8451065366516185
2022,14,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.11924856971018016,-0.243622382980872,24,0.3807490993513265,0.8410783700508089
2022,15,00-0027662,Carlos Dunlap,LB,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,-0.05536702275276184,0.28180795415614573,25,0.35876217819684186,0.8339989560667961
2022,16,00-0027662,Carlos Dunlap,LB,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.3970667819182078,0.2872617613372754,26,0.3428731966724938,0.5699541522014562
2022,17,00-0027662,Carlos Dunlap,LB,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.506883462270101,2.0334472405519493,27,0.718556317534595,0.7439360161183133
2022,18,00-0027662,Carlos Dunlap,LB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7404382526874542,0.5504903729976183,28,0.6812083298597112,0.727087375061842
2022,20,00-0027662,Carlos Dunlap,LB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2814303934574127,-0.14550097671029275,29,0.4974951506219326,0.7045464863858536
2022,21,00-0027662,Carlos Dunlap,LB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0643792748451233,0.6947274918438269,30,0.5413245597823536,0.6910029934815713
2022,22,00-0027662,Carlos Dunlap,LB,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7644227831624448,0.5611696613123534,31,0.5457345823445758,0.6794864019537482
2020,8,00-0027663,Sean Lee,LB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.021988026797771454,-0.24347160601878123,1,-0.24347160601878123,
