player_id,season,player_name,leaf_rating,leaf_uncertainty,games_played,attempts,raw_epa
00-0000108,2006,D.Akers,-0.4323495861854553,0.14916330304908842,1,1.0,-0.7023373
00-0000108,2011,D.Akers,1.9549847805982707,0.10624169930569174,2,1.0,4.2231336
00-0000865,2006,C.Batch,0.4359127046676898,0.3358760700200657,6,55.0,0.55067056
00-0000865,2007,C.Batch,0.21039766977348734,0.29678477217042937,8,36.0,-0.47963008
00-0000865,2009,C.Batch,0.25963164764309915,0.28216808974028007,9,2.0,0.7249243
00-0000865,2010,C.Batch,0.14697061977324613,0.24998389129230456,12,53.0,-0.109451555
00-0000865,2011,C.Batch,-0.061827100113868536,0.22855749469192377,15,26.0,-0.7575755
00-0000865,2012,C.Batch,-0.06306476646209874,0.2179309590472629,17,73.0,-0.031082109
00-0001361,2006,D.Bledsoe,-0.07146334151862481,0.1544889764495132,6,185.0,0.005995691
00-0001477,2007,M.Booker,-0.09558300698474893,0.14916330304908842,1,1.0,-0.0112659605
00-0001545,2010,T.Bouman,-0.13957104270155687,0.14916330304908842,1,35.0,-0.14700103
00-0001823,2006,A.Brooks,-0.236006395513108,0.11401963528009741,7,218.0,-0.21691951
00-0002099,2006,I.Bruce,-0.6101413550463367,0.14916330304908842,1,1.0,-0.43014285
00-0002099,2008,I.Bruce,-0.6237067831288715,0.10624169930569174,2,1.0,-0.48963377
00-0002110,2006,M.Brunell,-0.011658543414822534,0.29142514332406666,9,275.0,0.046769276
00-0002110,2009,M.Brunell,-0.3693126756695915,0.25759802602018844,12,31.0,-1.4574186
00-0002110,2010,M.Brunell,-0.25904209748585405,0.2415092860455937,14,14.0,0.47453034
00-0002110,2011,M.Brunell,-0.22655114596913248,0.23477810752031586,15,3.0,-0.11867905
00-0003292,2006,K.Collins,-0.2454115081873065,0.3423618435506852,3,95.0,-0.3068315
00-0003292,2007,K.Collins,-0.16900897955254968,0.21874461425852254,9,87.0,-0.054304767
00-0003292,2008,K.Collins,0.0074324860583213186,0.14843316573351806,26,468.0,0.1974751
00-0003292,2009,K.Collins,-0.04864612545346174,0.1403593635119219,33,222.0,-0.16288638
00-0003292,2010,K.Collins,-0.008834497233931357,0.13451460848586103,43,292.0,0.08019787
00-0003292,2011,K.Collins,-0.026412352390054867,0.13348665075076868,46,103.0,-0.24450624
00-0003315,2007,T.Collins,0.037870350625531735,0.2627798375539159,5,167.0,0.13254759
00-0003315,2009,T.Collins,0.038779345761872176,0.21335066104614295,8,25.0,-0.026914457
00-0003315,2010,T.Collins,-0.24421948626710202,0.1866333344608604,11,33.0,-0.87735873
00-0003739,2006,D.Culpepper,-0.11135132347839916,0.1486889862608251,4,155.0,-0.12391843
00-0003739,2007,D.Culpepper,-0.016737784620099973,0.09776096119578814,11,206.0,0.046853106
00-0003739,2008,D.Culpepper,-0.16700665930957204,0.08775961962793857,16,129.0,-0.34488338
00-0003739,2009,D.Culpepper,-0.14526235926093634,0.08190172725016083,24,172.0,-0.083034635
00-0004091,2009,P.Dawson,0.4025754323662502,0.14916330304908842,1,1.0,0.25551206
00-0004161,2006,J.Delhomme,-0.08405022430448378,0.11598365364383997,13,453.0,0.0068883756
00-0004161,2007,J.Delhomme,-0.014877907239133546,0.10871535045257207,16,91.0,0.25266546
00-0004161,2008,J.Delhomme,0.012013789628428438,0.0956554009503191,33,471.0,0.07757649
00-0004161,2009,J.Delhomme,-0.12894442574440584,0.09431957651656875,44,345.0,-0.19494052
00-0004161,2010,J.Delhomme,-0.200636748069335,0.0941007180795278,49,155.0,-0.3177872
