season,week,player_id,player_name,position,sacks,qb_hits,tfls,forced_fumbles,total_tackles,pressures,impact_plays,epa_against,raw_composite,career_game_number,smoothed_composite,composite_uncertainty
2021,6,00-0026190,Calais Campbell,DL,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.8773189008235931,-0.1553646657728059,19,0.055085257239329784,0.561155808053165
2021,7,00-0026190,Calais Campbell,DL,0.5,2.0,0.0,0.0,4.0,2.5,0.5,1.0457952874047416,1.0611503555996602,20,0.27865527909718096,0.6339322393962863
2021,9,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.337229394664367,-0.5713249289257935,21,0.08977078842540887,0.637614948493032
2021,10,00-0026190,Calais Campbell,DL,0.0,2.0,0.0,0.0,4.0,2.0,0.0,-0.4239347440501054,0.2772607187107704,22,0.13143521737771144,0.6401098082331965
2021,11,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.47431081533432007,-0.7597887163568904,23,-0.06661454567442229,0.6760382166803257
2021,13,00-0026190,Calais Campbell,DL,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.5702967792749405,1.1783015433357202,24,0.21003347410560935,0.7591366184746615
2021,14,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38581499457359314,-0.5600419067653517,25,0.03890561168984023,0.7554498885917598
2021,17,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,4.0,1.0,0.0,-0.32422696352005004,-0.21225947352647379,26,-0.01690885169156288,0.7509359482516238
2021,18,00-0026190,Calais Campbell,DL,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.8321175634860992,-0.1658617614516368,27,-0.050009498304912636,0.6629704617240659
2022,1,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.7949978436032931,0.7894801643101971,28,0.13654376005400062,0.7032396587093612
2022,2,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.8105355352163315,-0.8297663660869826,29,-0.07819182353288454,0.7592913639904542
2022,3,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.6420965294043223,0.009006878744010743,30,-0.05881433413801892,0.6663033228280151
2022,4,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.7634831070899963,-0.8184253586448758,31,-0.22761678402843155,0.69050572646578
2022,5,00-0026190,Calais Campbell,DL,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.6188835899035136,0.49205843520224557,32,-0.06768895753272552,0.7070072675692012
2022,6,00-0026190,Calais Campbell,DL,1.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0179346012217658,1.2277288072305634,33,0.22018165685911645,0.7733389716227176
2022,7,00-0026190,Calais Campbell,DL,1.0,0.0,0.0,1.0,4.0,1.0,2.0,2.4544198364019394,0.97404213823297,34,0.3877062082755284,0.7441642940987562
2022,9,00-0026190,Calais Campbell,DL,0.5,2.0,1.0,0.0,2.0,2.5,1.5,1.381171186765035,1.3729072965100833,35,0.6066397834387628,0.8049421774044525
2022,11,00-0026190,Calais Campbell,DL,1.0,2.0,0.0,0.0,2.0,3.0,1.0,1.027909860946238,1.230133135748285,36,0.7451938617297678,0.8348350605188604
2022,12,00-0026190,Calais Campbell,DL,1.0,3.0,0.0,1.0,3.0,4.0,2.0,0.4290339797735214,1.9518047329051313,37,1.0133296108798486,0.9305226797709152
2022,13,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.10901746153831482,-0.17203349898696013,38,0.7499155864650022,0.9624769695171265
2022,14,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2249008109793067,-0.5801960086018553,39,0.45433523200570053,0.925427128043001
2022,15,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.098990843941768,-0.6105439827674848,40,0.21769540650054825,0.9858283188726665
2022,19,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,2.0,1.0,0.0,-0.7109408577283224,-0.31711459230355377,41,0.09884874009963669,0.9216079904262182
2023,1,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1526367664337158,0.09546507884321451,42,0.09809681537598731,0.9331680677256934
2023,2,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4438389539718628,-0.552834182306365,43,-0.046554517442313204,0.9522122814677849
2023,3,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,3.0,1.0,0.0,-0.42981070280075073,-0.27985764275146463,44,-0.0983996563999024,0.9418222679776044
2023,4,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.6615757169978073,-0.021004107734325102,45,-0.08120064558532968,0.8498687366986372
2023,5,00-0026190,Calais Campbell,DL,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.5999844707548618,-0.24970090356794836,46,-0.11864514735924495,0.7491305829419103
2023,6,00-0026190,Calais Campbell,DL,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.5831335186958313,1.0638193248145786,47,0.14412473534604917,0.4902803698533227
2023,7,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,1.0,4.0,2.0,2.0,0.7458793712513787,0.9894700779279247,48,0.33197925591979927,0.6105713631504822
2023,8,00-0026190,Calais Campbell,DL,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.9547541538874308,0.5287191196321466,49,0.3756992256336542,0.6034804331505893
2023,9,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,4.0,2.0,1.0,-0.14562868575255075,0.4107849365400577,50,0.38349605027952166,0.5614787631854861
2023,12,00-0026190,Calais Campbell,DL,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.6210011824965477,-0.03062752020931677,51,0.2914685901708909,0.5409802740718545
2023,13,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.46965596079826355,-0.7694956540077195,52,0.055698758131199705,0.6218429912266336
2023,14,00-0026190,Calais Campbell,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6712896898388863,-0.4988877285541773,53,-0.06754268335443962,0.6156674945208921
2023,15,00-0026190,Calais Campbell,DL,1.0,1.0,0.0,0.0,6.0,2.0,1.0,1.147397194057703,0.8186026256497675,54,0.12937849642427307,0.6352069049247865
2023,16,00-0026190,Calais Campbell,DL,1.5,3.0,0.0,0.0,3.0,4.5,1.5,1.0784567594528198,2.0742469020535266,55,0.561571475452996,0.8534287146657199
2023,17,00-0026190,Calais Campbell,DL,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.27280962467193604,0.023478556854181876,56,0.4419952713199262,0.8332567321347005
2023,18,00-0026190,Calais Campbell,DL,1.0,2.0,1.0,0.0,4.0,3.0,2.0,0.6229098439216614,1.541631484947177,57,0.6863588743482042,0.8838289982663133
